Fragen (EN);Optionen (EN)
"What are the two primary ways a Scrum Master 
helps the Scrum Team work at its highest level of productivity?
(choose the best two answers)";"A) By ensuring the meetings start and end at the proper time 
B) By facilitating Scrum Team decisions 
C) By keeping high value features high in the Product Backlog 
D) By removing impediments that hinder the Scrum Team"
"When many Scrum Teams are working on a single Product, 
what best describes the Definition of ""Done”? 
(choose the best answer) ";"A) It depends. 
B) Each Scrum Team defines and uses its own. The differences are discussed and reconciled during a hardening Sprint. 
C) All Scrum Teams must have a definition of ""Done"" that makes their combined work potentially releasable. 
D) Each Scrum Team uses its own but must make their definition clear to all other Teams so the differences are known."
"A Product Owner wants advice from the Scrum Master about estimating work in Scrum. 
What guidance should a Scrum Master give?
(Choose the best answer)";"A) Product Backlog items must be estimated in story points
B) Estimates must be in relative units
C) Estimates are made by the people doing the work
D) Scrum forbids estimating 
E) Estimates are made by the Product Owner, but are best checked with the Developers"
"What is the Product Owner accountable for in Scrum?
(choose the best answer)";"A) Refining the top level Product Backlog items until they are ready to be handed over to the Scrum Team.
B) Writing the User Stories so they are comprehensive enough for the stakeholders.
C) Describing an Increment at Sprint Planning and making sure that the Developers deliver it by the end of the Sprint.
D) Maximizing the value of the product resulting from the work of the Scrum Team."
"The Product Owner is not collaborating with the Developers during the Sprint. 
What are two valuable actions for a Scrum Master to take.
(Choose the best two answers)";"A) Nominate a proxy Product Owner
B) Inform the Product Owner’s functional manager
C) Coach the Product Owner in the values of Scrum and incremental delivery.
D) Stop the Sprint, send the Product Owner to a course and restart
E) Bring up the problem in the Sprint retrospective"
"Who is responsible for tracking the remaining work of the Sprint?
(Choose the best answer)";"A) The Developers
B) The Project Manager
C) The Product Owner
D) The Scrum Master
E) The Developers in consultation with the Product Owner"
"Developers do not meet with stakeholders; only the Product Owner meets with stakeholders.";"A) True
B) False"
"Which Scrum Value is impacted by trust?
(choose the best answer)";"A) Respect
B) Courage
C) Commitment
D) Openness
E) Focus
F) all of the above"
"Who is required to attend the Daily Scrum? 
(choose the best answer)";"A) The Scrum Master and Product Owner.
B) The Developers and Scrum Master.
C) The Developers.
D) The Developers and Product Owner.
E) The Scrum Team."
"When does a Developer become accountable 
for the value of a Product Backlog item selected for the Sprint? 
(choose the best answer)";"A) During the Daily Scrum.
B) Whenever a team member can accommodate more work.
C) Never. The entire Scrum Team is accountable for creating value every Sprint.
D) At the Sprint Planning Event."
"As the Sprint Planning processes, the Developers realize that the workload may be greater than their capacity to complete the work. Which two are valid actions?
(choose the best two answers)";"A) Remove or change selected Product Backlog items
B) The Developers work overtime during this Sprint
C) Cancel the Sprint
D) The Developers ensure that the Scrum Team is aware, start the Sprint, and monitor progress
E) Recruit additional Developers before the work can begin"
"Select three incorrect, untrue, or misleading statements about Scrum? 
(choose the best three answers)";"A) Scrum is a framework for developing and sustaining complex products.
B) Each component of Scrum serves a specific purpose and is essential to your ability to use Scrum to develop complex products.
C) Scrum is a methodology where you can pick and choose which parts of Scrum you think will work for your environment.
D) Scrum is a framework that eliminates complexity.
E) Scrum is based on empirical process control theory.
F) Scrum is like traditional processes but with self-organization to replace Project Managers."
"Which two things should the Scrum Team do during the first Sprint? 
(choose the best two answers)";"A) Develop and deliver at least one piece of functionality.
B) Deliver an Increment of useful and valuable product.
C) Determine the complete architecture and infrastructure for the product.
D) Create the complete Product Backlog to be developed in subsequent Sprints.
E) Develop a plan for the rest of the release."
"If two Scrum Teams are added to the development of a product that previously had only one Scrum Team, what will be the immediate impact on the productivity of the original Scrum Team?
(Choose the best answer)";"A) Its productivity is likely to stay the same
B) Its productivity is likely to increase
C) Its productivity is likely to decrease"
"Why do the Developers need a Sprint Goal?
(Choose the best answer)";"A) A Sprint Goal only gives purpose to Sprint 0
B) Sprint Goals are not valuable. Everything is known from the Product Backlog
C) The Developers are more focused with a common, yet specific, goal
D) A Sprint Goal ensures that all of the Product Backlog items selected for the Sprint are implemented."
"Choose two responsibilities of a self-organizing Developers. 
(Choose the best two answers)";"A) Increase velocity
B) Do the work planned in the sprint backlog
C) Reorder the product backlog
D) Pull product backlog items for the sprint
E) Report daily progress to stakeholders"
"Who should know the most about the progress toward the Product Goal?
(Choose the best answer)";"A) The Scum Master
B) The Product Owner
C) The Project Manager
D) The Developers"
"Who determines how many Product backlog items the Developers select for a sprint?
(Choose the best answer)";"A) The stakeholders attending Sprint Planning.
B) The Scrum Master
C) The Developers
D) The Prodoct Owner
E) The Scrum Team"
"A new member has just joined an existing Development Team that has been together for several Sprints. During the Sprint, the individual has been trying to share his ideas and viewpoints but is continuously ignored by the rest of the Development Team. Which three Scrum Values has the Development Team been neglecting? 
(Choose three Answers)";"A) Commitment
B) Respect
C) Transparency
D) Focus
E) Openness
F) Courage"
"The Developers should have all the skills and competencies needed to:
(choose the best answer)";"A) Turn the Product Backlog items it selects into a potentially releasable product increment of functionality.
B) Do all of the development work in order to handoff to the testers in the subsequent Sprint.
C) Complete the project within the estimate as committed to the Product Owner."
"What is the recommended size for a Scrum Team? 
(choose the best answer)";"A) 7 plus or minus 2.
B) 9.
C) Minimum of 7.
D) Typically 10 or fewer people."
"A Developer takes the Scrum Master aside to express his concerns about data security issues. What should the Scrum Master do?
(Choose the best answer)";"A) Ask the Developer to share the concern with the team as soon as possible
B) Add security to the Definition of Done
C) Tell the Product Owner to stop further development of features until the issues are fixed
D) Create a Product Backlog item for security
E) Go check with the testers"
"Which three purposes does the Definition of Done serve? 
(Choose the best 3 answers)";"A) Describe the purpose, objective, and time-box of each Scrum event
B) Guide the Scrum Team on how many Product Backlog items to select for the Sprint
C) Increase transparency
D) Describe the work that must be done before the Sprint is allowed to end
E) Create a shared understanding of when work is complete"
The Sprint Backlog is a result of Sprint Planning, and it includes the Sprint Goal;"A) True
B) False"
"The three pillars of empiricism are:
(Choose the best answer)";"A) Planning, Inspection, Adaptation.
B) Transparency, Eliminating Waste, Kaizen.
C) Inspection, Transparency, Adaptation.
D) Planning, Demonstation, Retrospective.
E) Respect For People, Kaizen, Eliminating Waste."
"Who should make sure everyone on the Scrum Team does their tasks for the Sprint?
(Choose the best answer)";"A) The Project Manager
B) The Product Owner
C) The Scrum Master
D) The Scrum Team
E) All the above"
"How is management that is external to the Scrum Team involved in the Daily Scrum?
(choose the best answer)";"A) The Scrum Master speaks on their behalf
B) Managers are not required at the Daliy Scrum.
C) Management gives an update at the start of each Daily Scrum.
D) The Product Owner represents their opinions."
"Who must attend the Daily Scrum? 
(Choose the best answer)";"A) The Developers and the product owner
B) The Developers
C) The scrum master and product owner
D) The scrum team 
E) The Developers and scrum master"
"What would be typical Scrum Master activities during the Sprint?
(Choose the best answer)";"A) Monitor the progress of the Development Team and assigning tasks.
B) Remove impediments and facilitating inspection and adaptation opportunities as requested or needed.
C) avoiding conflicts and escalating to the line managers if conflicts occur."
"A Scrum Master is working with Developers who are in different physical locations. The Developers meet in a variety of meeting rooms and have much to do logistically (for example: setup conference calls) before the Daily Scrum. What action should the Scrum Master take?
(Choose the best answer)";"A) Allow the Developers to self-manage and determine for itself what to do
B) Setup the meeting and tell the Developers how it will be done.
C) Inform management and ask them to solve it
D) Ask the Developers to alternate who is responsible for meeting setup"
A properly functioning Scrum Team will have at least one Release Sprint and may well have several;"A) True
B) False"
"How much of the Sprint Backlog must be defined during the Sprint Planning event?
(choose the best answer)";"A) Just enough to understand design and architectural implications
B) Just enough tasks for the Scrum Master to be confident in the Developers’ understanding of the Sprint
C) The entire Sprint Backlog must be identified and estimated by the end of Sprint Planning
D) Enough so the Developers can create their forecast of what work they can do"
"When must the Produkt Owner participate in the Daily Scrum?
(choose the best answer)";"A) When the Scrum Master asks the Product Owner to attend.
B) When the Product Owner is actively working on itmes on the Sprint Backlog, however, they participate as a Developer.
C) When the Product Owner needs to represent the stakeholders point of view to the Developers.
D) When there are inpediments to discuss."
"What is included in the Sprint backlog?
(Choose the best answer)";"A) User stories
B) Tasks
C) Use cases
D) Tests
E) Any of the above (or others) which are a decomposition of the selected product backlog items"
"Why should the Product Owner be present at the Daily Scrum?
(Choose the best answer)";"A) He/she doesnt need to be there
B) To represent the stakeholders point of view
C) To hear about the impediments in functionality
D) To participate as a scrum team member"
"Which role is responsible for engaging with stakeholders?
(Choose the best answer)";"A) The team lead
B) The business analyst
C) The project manager
D) The Developer
E) The Product Owner"
"The Developers select a set of Product Backlog items for a Sprint Backlog with the intent to get these selected items done by the end of the Sprint. Which three phrases best describe the purpose of a Definition of Done?
(Choose the best three answers)";"A) It defines what it takes for an Increment to be ready for release.
B) It creates transparency over the work inspected at the Sprint review
C) It tracks the percentage complete of a Product Backlog item
D) It guides the Developers in creating a forecast at the Sprint Planning
E) It provides a template for elements that need to be included in the technical documentation
F) It controls whether the developers have performed their tasks"
"Who is responsible for clearly expressing Product Backlog items?
(Choose the best answer)";"A) The Scrum Master
B) The Scrum Master, or the Scrum may master have the Developers do it
C) The Product Owner
D) The business analyst who represents the Product Owner within Developers"
"The Developers should not be interrupted during the Sprint and the Sprint Goal should remain intact. These are conditions that foster creativity, quality and productivity. 
(Which one the following answers is FALSE?)";"A) As a decomposition of the selected Product Backlog items, the Sprint Backlog changes and may grow as the work emerges.
B) The Product Owner can help clarify or optimize the Sprint when asked by the Developers.
C) The Developers may work with the Product Owner to remove or add work if it finds it has more or less capacity than it expected.
D) The Sprint Backlog is fully formulated in the Sprint Planning event and does not change during the Sprint."
"What does it mean to say that an event has a timebox? 
(choose the best answer)";"A) The event can take no more than a maximum amount of time.
B) The event must happen by a given time.
C) The event must take at least a minimum amount of time.
D) The event must happen at a set time."
"Which two of the following are true of the Scrum Master role?
(Choose the best two answers)";"A) At the Sprint review, the Scrum Master identifies what has been done and what has not been done
B) The Scrum Master teaches the Scrum Team to keep the scrum meetings to their timebox
C) The Scrum Masters helps those outside the team to interact with the scrum team
D) The Scrum Masters assigns tasks to Developers when they need work
E) The Scrum Master is responsible for updating the Sprint burndown"
"How much time is required after a Sprint to prepare for the next Sprint?
(Choose the best answer)";"A) The break between Sprints is timeboxed to one week for a one-month Sprint, and usually less for shorter Sprints.
B) Enough time for the requirements for the next Sprint to be determined and documented.
C) Enough time for the Developers to finish the testing from the last Sprint.
D) None. A new Sprint starts immediately following the end of the previous Sprint.
E) All of the above are allowed depending on the situation."
